Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0201,5,100nF,
C6,0805,1,10uF,
"C7, C8",0201,2,1uF,
C9,0201,1,0.1uF,
"COL0, COL1, COL10, COL11, COL12, COL13, COL2, COL3, COL4, COL5, COL6, COL7, COL8, COL9",TestPoint_Pad_1.5x1.5mm,14,TestPoint,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",D_SOD-123,68,1N4148,
GND1,TestPoint_Bridge_Pitch2.0mm_Drill0.7mm,1,TestPoint,
J1,JST_SH_1x04,1,Conn_01x04,
"KC_0, KC_1, KC_2, KC_3, KC_4, KC_5, KC_6, KC_7, KC_8, KC_9, KC_A1, KC_B1, KC_BKSP1, KC_BKSP2, KC_BSLS2, KC_C1, KC_COMM1, KC_D1, KC_DOT1, KC_E1, KC_ENT1, KC_EQL1, KC_ESC1, KC_F1, KC_G1, KC_H1, KC_I1, KC_J1, KC_K1, KC_L1, KC_LBRC1, KC_LGUI1, KC_LSFT1, KC_M1, KC_MINS1, KC_MO1, KC_N1, KC_O1, KC_P1, KC_Q1, KC_QUOT1, KC_R1, KC_RBRC1, KC_RGUI1, KC_RSFT1, KC_S1, KC_SCLN1, KC_SLSH1, KC_SPC1, KC_T1, KC_U1, KC_V1, KC_W1, KC_X1, KC_Y1, KC_Z1",SW_MX_1u,56,MX_SW_solder,
"KC_BSLS1, KC_LALT1, KC_LCTL1, KC_RALT1, KC_RCTL1, KC_TAB1",SW_MX_1.5u,6,MX_SW_solder,
KC_CAPS1,SW_MX_1.75u,1,MX_SW_solder,
KC_STEP1,SW_MX_1.75u_STEPPED_1.25,1,MX_SW_solder,
R1,0201,1,10k,
"SW1, SW2",SW_Push_Reset_Bootloader,2,SW_Push,
U1,MCU_STM32F072CBTx,1,STM32F072CBTx,
U2,SOT-23-3,1,XC6206PxxxMR,
U3,SOT-23-6,1,USBLC6-2SC6,
