Designator,Mid X,Mid Y,Rotation,Layer
C1,104.179668,-112.950724,180.0,bottom
C2,95.547644,-104.021044,0.0,bottom
C3,104.77498,-111.462444,180.0,bottom
C4,98.868533,-113.658492,270.0,bottom
C5,103.882012,-102.83042,90.0,bottom
C6,97.631236,-100.746828,90.0,bottom
C7,98.226548,-94.198396,0.0,bottom
C8,96.738268,-98.36558,0.0,bottom
C9,99.9925,-114.2725,270.0,bottom
COL0,84.236716,-105.80698,0.0,bottom
COL1,108.346852,-109.974164,0.0,bottom
COL10,263.127972,-126.047588,0.0,bottom
COL11,281.582644,-125.452276,0.0,bottom
COL12,305.69278,-124.856964,0.0,bottom
COL13,311.348244,-124.261652,0.0,bottom
COL2,129.778125,-105.806875,0.0,bottom
COL3,146.44682,-104.021044,0.0,bottom
COL4,152.39994,-129.61946,0.0,bottom
COL5,170.854612,-129.024148,0.0,bottom
COL6,189.309284,-128.428836,0.0,bottom
COL7,207.763956,-127.833524,0.0,bottom
COL8,226.218628,-127.238212,0.0,bottom
COL9,244.6733,-126.6429,0.0,bottom
D1,84.29625,-81.835625,90.0,bottom
D10,255.74625,-81.835625,90.0,bottom
D11,274.79625,-81.835625,90.0,bottom
D12,293.84625,-81.835625,90.0,bottom
D13,312.89625,-81.835625,90.0,bottom
D14,341.113844,-81.835625,90.0,bottom
D15,89.05875,-100.885625,90.0,bottom
D16,112.87125,-100.885625,90.0,bottom
D17,131.92125,-100.885625,90.0,bottom
D18,150.97125,-100.885625,90.0,bottom
D19,170.02125,-100.885625,90.0,bottom
D2,103.34625,-81.835625,90.0,bottom
D20,189.07125,-100.885625,90.0,bottom
D21,208.12125,-100.885625,90.0,bottom
D22,227.17125,-100.885625,90.0,bottom
D23,246.22125,-100.885625,90.0,bottom
D24,265.27125,-100.885625,90.0,bottom
D25,284.32125,-100.885625,90.0,bottom
D26,303.37125,-100.885625,90.0,bottom
D27,322.42125,-100.885625,90.0,bottom
D28,346.23375,-100.885625,90.0,bottom
D29,91.678125,-120.094375,90.0,bottom
D3,122.336684,-81.399188,90.0,bottom
D30,117.63375,-119.935625,90.0,bottom
D31,136.68375,-119.935625,90.0,bottom
D32,155.73375,-119.935625,90.0,bottom
D33,174.78375,-119.935625,90.0,bottom
D34,193.83375,-119.935625,90.0,bottom
D35,212.88375,-119.935625,90.0,bottom
D36,231.93375,-119.935625,90.0,bottom
D37,250.98375,-119.935625,90.0,bottom
D38,270.03375,-119.935625,90.0,bottom
D39,289.08375,-119.935625,90.0,bottom
D4,141.44625,-81.835625,90.0,bottom
D40,308.13375,-119.935625,90.0,bottom
D41,339.09,-119.935625,90.0,bottom
D42,350.936492,-81.696844,90.0,bottom
D43,96.2025,-138.985625,90.0,bottom
D44,127.15875,-138.985625,90.0,bottom
D45,146.20875,-138.985625,90.0,bottom
D46,165.25875,-138.985625,90.0,bottom
D47,184.30875,-138.985625,90.0,bottom
D48,203.35875,-138.985625,90.0,bottom
D49,222.40875,-138.985625,90.0,bottom
D5,160.49625,-81.835625,90.0,bottom
D50,241.45875,-138.985625,90.0,bottom
D51,260.50875,-138.985625,90.0,bottom
D52,279.55875,-138.985625,90.0,bottom
D53,298.60875,-138.985625,90.0,bottom
D54,324.742764,-138.985625,90.0,bottom
D55,350.99625,-138.985625,90.0,bottom
D56,89.05875,-158.035625,90.0,bottom
D57,112.87125,-158.035625,90.0,bottom
D58,136.68375,-158.035625,90.0,bottom
D59,217.64625,-158.035625,90.0,bottom
D6,179.54625,-81.835625,90.0,bottom
D60,298.60875,-158.035625,90.0,bottom
D61,322.42125,-158.035625,90.0,bottom
D62,346.23375,-158.035625,90.0,bottom
D63,252.4125,-147.47875,90.0,bottom
D64,255.984375,-147.47875,90.0,bottom
D65,259.55625,-147.47875,90.0,bottom
D66,252.4125,-153.431875,90.0,bottom
D67,255.984375,-153.431875,90.0,bottom
D68,259.55625,-153.431875,90.0,bottom
D7,198.59625,-81.835625,90.0,bottom
D8,217.64625,-81.835625,90.0,bottom
D9,236.69625,-81.835625,90.0,bottom
GND1,82.45078,-88.542932,0.0,bottom
J1,119.008189,-87.785554,270.0,bottom
KC_0,271.4625,-76.30445,0.0,top
KC_1,100.0125,-76.30445,0.0,top
KC_2,119.0625,-76.30445,0.0,top
KC_3,138.1125,-76.30445,0.0,top
KC_4,157.1625,-76.30445,0.0,top
KC_5,176.2125,-76.30445,0.0,top
KC_6,195.2625,-76.30445,0.0,top
KC_7,214.3125,-76.30445,0.0,top
KC_8,233.3625,-76.30445,0.0,top
KC_9,252.4125,-76.30445,0.0,top
KC_A1,114.3,-114.40445,0.0,top
KC_B1,200.025,-133.45445,0.0,top
KC_BKSP1,338.1375,-76.30445,0.0,top
KC_BKSP2,328.612292,-76.30445,0.0,top
KC_BSLS1,342.9,-95.35445,0.0,top
KC_BSLS2,347.6625,-76.30445,0.0,top
